institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2018 Endowment,School Website
Abilene Christian University,regional-universities-west,ACU,TX,Abilene,79699,west,True,private,#12,12,True,21,66,57,36300,3.6,2.5,,3544,2.1,1040,27650.0,1040-1230,21-27,"Private, Coed",1906,Churches of Christ,Semester,City,$431.9 million +,http://www.acu.edu
Abraham Baldwin Agricultural College,regional-colleges-south,,GA,Tifton,31793,south,True,public,#65-#84,-1,False,17,,70,,,,,,,920,,920-1110,17-22,"Public, Coed",1908,None,Semester,Rural,N/A,http://www.abac.edu/
Academy of Art University,regional-universities-west,,CA,San Francisco,94105,west,True,proprietary,Unranked,-2,False,,,100,29190,,,,7051,,,,N/A,N/A,"Proprietary, Coed",1929,None,Semester,Urban,N/A,http://www.academyart.edu/
Acadia University,unranked,,,"Wolfville, Nova Scotia",,,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,//www.acadiau.ca
Adams State University,regional-universities-west,,CO,Alamosa,81102,west,True,public,#87-#113,-1,False,17,,99,,,,,,,880,,880-1080,17-22,Public,N/A,None,N/A,N/A,N/A,http://www.adams.edu
Adelphi University,national-universities,,NY,Garden City,11530,,True,private,#166,166,True,22,65,74,38660,3.5,,,5391,2.2,1080,42300.0,1080-1270,22-27,"Private, Coed",1896,None,Semester,Suburban,$188.6 million,http://www.adelphi.edu
Adrian College,regional-colleges-midwest,,MI,Adrian,49221,midwest,True,private,#18,18,True,19,84,65,37809,3.2,,,1817,,940,27162.0,940-1150,19-26,"Private, Coed",1859,United Methodist,Semester,City,N/A,http://www.adrian.edu
Adventist University of Health Sciences,health,,FL,Orlando,32803,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.fhchs.edu/
Agnes Scott College,national-liberal-arts-colleges,,GA,Decatur,30030,,True,private,#58,58,True,23,77,70,42690,3.8,,,996,,1090,24389.0,1090-1320,23-29,"Private, Women's college",1889,Presbyterian Church (USA),Semester,Urban,$229.4 million +,http://www.agnesscott.edu
Alabama Agricultural and Mechanical University,regional-universities-south,Alabama A&M Alabama A & M,AL,Normal,35762,south,True,public,#96-#122,-1,False,16,,90,18354,3,2.0,,5143,,725,,725-980,16-19,"Public, Coed",1875,None,Semester,Urban,N/A,http://www.aamu.edu/admissions/undergraduateadmissions/pages/default.aspx
Alabama State University,regional-universities-south,,AL,Montgomery,36101,south,True,public,#87,87,True,16,,98,19396,3,,,3903,,860,,860-1030,16-20,"Public, Coed",1867,None,Semester,Urban,$100.9 million +,http://www.alasu.edu
Alaska Pacific University,regional-universities-west,,AK,Anchorage,99508,west,True,private,#82,82,True,,,86,,,,,,,,,N/A,N/A,"Private, Coed",1957,None,Semester,City,N/A,http://www.alaskapacific.edu
Albany College of Pharmacy and Health Sciences,health,,NY,Albany,12208,,True,private,Unranked,-2,False,23,,79,35261,,,,,,1110,,1110-1270,23-28,"Private, Coed",1881,None,Semester,City,N/A,http://www.acphs.edu/
Albany State University,regional-universities-south,,GA,Albany,31705,south,True,public,#96-#122,-1,False,15,,89,20352,2.8,,,6001,,750,,750-900,15-18,"Public, Coed",1903,None,Semester,City,$2.3 million +,https://www.asurams.edu/
Albertus Magnus College,regional-universities-north,,CT,New Haven,06511,north,True,private,#66,66,True,,73,86,33260,3,,,1116,,810,42386.0,810-1050,N/A,"Private, Coed",1925,Roman Catholic,Semester,Suburban,$8.7 million,http://www.albertus.edu
Albion College,national-liberal-arts-colleges,,MI,Albion,49224,,True,private,#140,140,True,20,,68,48090,3.7,,,1533,,1010,,1010-1240,20-26,"Private, Coed",1835,United Methodist,Semester,Suburban,$174.3 million +,http://www.albion.edu/
Albright College,national-liberal-arts-colleges,,PA,Reading,19612,,True,private,#164-#215,-1,False,20,,62,25642,3.1,,,1912,,1023,,1023-1200,20-24,"Private, Coed",1856,United Methodist,4-1-4,Suburban,$69.3 million +,https://www.albright.edu/
Alcorn State University,regional-universities-south,,MS,Lorman,39096,south,True,public,#82,82,True,17,,89,7320,3.7,,,3173,,820,,820-1140,17-22,"Public, Coed",1871,None,Semester,Rural,$18.7 million +,http://www.alcorn.edu
Alderson Broaddus University,regional-colleges-south,Alderson Broaddus Alderson Broaddus College,WV,Philippi,26416,south,True,private,#39,39,True,18,78,43,29220,3.2,,,836,,920,20478.0,920-1100,18-22,"Private, Coed",1871, American Baptist,Semester,Rural,$17.9 million,http://www.ab.edu
Alfred University,regional-universities-north,,NY,Alfred,14802,north,True,private,#38,38,True,20,82,63,34770,3.1,2.0,,1671,2.0,970,26170.0,970-1200,20-27,"Private, Coed",1836,None,Semester,Rural,$129.3 million +,http://www.alfred.edu
Alice Lloyd College,regional-colleges-south,,KY,Pippa Passes,41844,south,True,private,#21,21,False,18,87,8,12230,3.5,,,592,,910,15830.0,910-1050,18-23,"Private, Coed",1923,None,Semester,Rural,$43.3 million +,http://www.alc.edu
Allegheny College,national-liberal-arts-colleges,,PA,Meadville,16335,,True,private,#82,82,True,24,78,64,49260,3.5,,,1771,,1120,26908.0,1120-1340,24-30,"Private, Coed",1815,United Methodist,Semester,Suburban,$220.8 million +,https://allegheny.edu
Allen College,health,,IA,Waterloo,50703,,True,private,Unranked,-2,False,,,,,,,,341,,,,N/A,N/A,"Private, Coed",1880,Church of Brethren,Semester,Rural,$93.1 million +,http://www.bridgewater.edu
Allen University,national-liberal-arts-colleges,,SC,Columbia,29204,,True,private,#164-#215,-1,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1870,None,Semester,City,N/A,http://www.allenuniversity.edu
Alliant International University,national-universities,,CA,San Diego,92131,,True,private,Unranked,-2,False,,,97,18510,,,,721,,,,N/A,N/A,"Private, Coed",1969,None,Semester,Suburban,N/A,http://www.alliant.edu
Alma College,regional-colleges-midwest,,MI,Alma,48801,midwest,True,private,#8,8,False,20,84,64,41398,3.6,,,1433,,1040,24941.0,1040-1220,20-27,"Public, Coed",1901,None,Quarter,Suburban,$220.6 million,http://www.calpoly.edu/
Alpena Community College,regional-colleges-midwest,,MI,Alpena,49707,midwest,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,https://www.lakemichigancollege.edu
Alvernia University,regional-universities-north,,PA,Reading,19607,north,True,private,#94,94,True,17,,68,35100,3.3,,,2196,,950,,950-1130,17-23,"Private, Coed",1958,Roman Catholic,Semester,Suburban,$26.9 million +,https://www.alvernia.edu/
Alverno College,regional-universities-midwest,,WI,Milwaukee,53234,midwest,True,private,#53,53,True,17,84,67,29456,3.1,,,1219,,,24799.0,N/A,17-21,"Private, Women's college",1887,Roman Catholic,Semester,Urban,$30.0 million,http://www.alverno.edu
Amberton University,regional-universities-west,,TX,Garland,75041,west,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1981,Other,4 10-week,Suburban,N/A,http://www.amberton.edu
American Academy of Art,specialty-arts,,IL,Chicago,60604,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,//www.aaart.edu
American College of Education,special-focus,,IN,Indianapolis,,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,
American College of Financial Services,specialty-business,,PA,Bryn Mawr,19010,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.pqc.edu
American College of Thessaloniki,unranked,,,,,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1886,None,Trimester,Suburban,N/A,//www.act.edu
American Conservatory Theater,specialty-arts,,CA,San Francisco,94108,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.act-sf.org
American InterContinental University,regional-universities-midwest,,IL,Hoffman Estates,60192,midwest,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,//www.aiuniv.edu
American International College,regional-universities-north,,MA,Springfield,01109,north,True,private,#129-#170,-1,False,17,,72,35680,,,,,,902,,902-1090,17-22,"Private, Coed",1885,None,Semester,Urban,N/A,http://www.aic.edu
American Jewish University,unranked,,CA,Bel-Air,90077,,True,private,Unranked,-2,False,,,83,31946,,,,,,,,N/A,N/A,"Private, Coed",1947,None,Semester,Urban,$22.1 million +,http://www.aju.edu
American Public University System,regional-universities-south,,WV,Charles Town,25414,south,True,proprietary,Unranked,-2,False,,,,8600,,,,37746,,,,N/A,N/A,"Proprietary, Coed",1991,None,Monthly,Rural,N/A,http://www.apus.edu
American Samoa Community College,regional-colleges-west,,AS,Pago Pago,96799,west,True,public,Unranked,-2,False,,,100,4250,,,,1037,,745,,745-920,N/A,,,,,,,
American University,national-universities,,DC,Washington,20016,,True,private,#77,77,True,27,45,32,49889,3.7,,,8287,3.1,1220,37397.0,1220-1380,27-31,"Private, Coed",1893,United Methodist,Semester,Suburban,$676.4 million +,http://www.american.edu
American University in Bulgaria,unranked,The American University Bulgaria,,Blagoevgrad 2700,,,True,private,Unranked,-2,False,25,,80,12910,3.7,,,880,,1014,,1014-1460,25-35,"Private, Coed",1991,None,Semester,City,N/A,http://www.aubg.bg/
American University in Cairo,unranked,The American University Cairo,,New Cairo 11835,,,True,private,Unranked,-2,False,,,53,27000,,,,5655,,1050,,1050-1220,N/A,"Private, Coed",1919,None,Semester,Suburban,$538.0 million,http://www.aucegypt.edu
American University of Beirut,unranked,,,"Riad El Solh, Beirut",,,True,private,Unranked,-2,False,,,70,24167,,,,7341,,1110,,1110-1310,N/A,"Private, Coed",1886,None,Semester,Urban,$731.4 million +,http://www.aub.edu.lb/
American University of Health Sciences,health,,CA,Signal Hill,,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,
American University of Paris,unranked,American University Paris American University Paris,,Paris,75007,,True,private,Unranked,-2,False,,,70,37213,,,,1070,,,,N/A,N/A,"Private, Coed",1962,None,Semester,Urban,"$890,725",http://www.aup.edu/
American University of Puerto Rico--Bayamon,regional-colleges-south,,PR,Bayamon,00960,south,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.clark.edu
American University of Puerto Rico--Manati,regional-colleges-south,American University Puerto Rico American University Puerto Rico,PR,Bayamon,00960,south,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.aupr.edu/
Amherst College,national-liberal-arts-colleges,,MA,Amherst,01002,,True,private,#2,2,False,31,56,13,58640,,,,1855,,1390,19251.0,1390-1540,31-34,"Private, Coed",1821,None,Semester,Rural,$2.4 billion,http://www.amherst.edu
Amridge University,regional-universities-south,,AL,Montgomery,36117,south,True,private,#96-#122,-1,False,,,,9900,,,,353,,,,N/A,N/A,"Public, Coed",1901,None,Semester,City,$30.8 million,http://www.northern.edu
Anderson University,regional-universities-south,,SC,Anderson,29621,south,True,private,#50,50,True,20,79,62,29230,3.5,,,2881,,1050,25409.0,1050-1250,20-26,"Private, Coed",1911,Southern Baptist,Semester,City,$46.1 million +,http://www.andersonuniversity.edu
Anderson University,regional-universities-midwest,,IN,Anderson,46012,midwest,True,private,#84,84,True,19,,65,,,2.1,,,,910,,910-1110,19-25,"Private, Coed",1917,Church of God,Semester,Suburban,N/A,//anderson.edu
Andrew College,regional-colleges-south,,GA,Cuthbert,39840,south,True,private,#65-#84,-1,False,,,,17388,,,,293,,,,N/A,N/A,"Private, Coed",1854,United Methodist,Semester,Rural,N/A,https://www.andrewcollege.edu/
Andrews University,national-universities,,MI,Berrien Springs,49104,,True,private,#293-#381,-1,False,21,,66,30158,3.6,,,1702,,1040,,1040-1300,21-27,"Private, Coed",1874,Seventh Day Adventist,Semester,Rural,$55.0 million,http://www.andrews.edu
Angelo State University,regional-universities-west,,TX,San Angelo,76909,west,True,public,#87-#113,-1,False,18,,73,21381,,,,8752,,950,,950-1140,18-24,"Public, Coed",1928,None,Semester,City,$189.3 million,http://www.angelo.edu
Anna Maria College,regional-universities-north,,MA,Paxton,01612,north,True,private,#129-#170,-1,False,18,,75,38630,3,,,1134,,903,,903-1080,18-22,"Private, Coed",1946,Roman Catholic,Semester,Suburban,$5.2 million,http://www.annamaria.edu
Antelope Valley College,regional-colleges-west,,CA,Lancaster,93536,west,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,//www.avc.edu
Antioch University,regional-universities-midwest,Antioch University Midwest,OH,Yellow Springs,45387,midwest,True,private,Unranked,-2,False,,,,18972,,,,,,,,N/A,N/A,"Private, Coed",1852,None,Semester,Rural,$7.5 million,http://midwest.antioch.edu
Appalachian Bible College,faith,,WV,Bradley,25818,,True,private,Unranked,-2,False,,,,15162,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.abc.edu/
Appalachian State University,regional-universities-south,,NC,Boone,28608,south,True,public,#6,6,True,22,21,69,22204,3.6,,,17381,2.5,1100,24436.0,1100-1260,22-26,"Public, Coed",1899,None,Semester,Rural,$122.4 million,http://www.appstate.edu
Aquinas College,unranked,,TN,Nashville,37205,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1961,None,Semester,Urban,N/A,http://www.aquinascollege.edu
Aquinas College,national-liberal-arts-colleges,,MI,Grand Rapids,49506,,True,private,#164-#215,-1,False,21,,69,33854,3.5,,,1578,,1010,,1010-1230,21-26,"Private, Coed",1886,Roman Catholic,Semester,City,$43.7 million,http://www.aquinas.edu
Arcadia University,regional-universities-north,,PA,Glenside,19038,north,True,private,#42,42,True,21,73,64,44440,3.7,,,2160,,1050,35143.0,1050-1250,21-27,"Private, Coed",1853,None,Semester,Suburban,$71.8 million,http://www.arcadia.edu
Arizona Christian University,regional-colleges-west,,AZ,Phoenix,85032,west,True,private,#22,22,False,17,,56,27890,,,,776,,930,,930-1125,17-22,"Private, Coed",1960,Undenominational,Semester,Urban,$1.1 million,http://arizonachristian.edu/
Arizona State University--Tempe,national-universities,ASU,AZ,Tempe,85287,,True,public,#117,117,True,22,32,85,29428,3.5,3.4,,42844,3.7,1130,40000.0,1130-1360,22-29,"Public, Coed",1885,None,Semester,Urban,$554.8 million +,//www.asu.edu
Arizona State University--West,unranked,,AZ,Tempe,85287,,True,public,Unranked,-2,False,19,,82,27988,3.5,,,4047,,1050,,1050-1250,19-25,"Public, Coed",1984,None,Semester,Urban,$21.6 million +,https://campus.asu.edu/west
Arkansas Baptist College,regional-colleges-south,,AR,Little Rock,72202,south,True,private,#65-#84,-1,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1884, Baptist,Semester,Urban,N/A,//www.arkansasbaptist.edu
Arkansas State University,national-universities,Arkansas State University Jonesboro Arkansas State University Jonesboro,AR,State University,72467,,True,public,#293-#381,-1,False,21,,77,15860,3.6,2.5,,9350,2.4,1030,,1030-1196,21-27,"Public, Coed",1909,None,Semester,City,$76.1 million,http://www.astate.edu
Arkansas Tech University,regional-universities-south,,AR,Russellville,72801,south,True,public,#75,75,True,18,,90,15848,3.3,2.2,,11151,2.0,900,,900-1110,18-25,"Public, Coed",1909,None,Semester,Rural,$37.4 million +,http://www.atu.edu
Art Academy of Cincinnati,specialty-arts,,OH,Cincinnati,45202,,True,private,Unranked,-2,False,,,100,34335,2.9,,,192,,,,N/A,N/A,"Private, Coed",1869,None,Semester,Urban,$2.1 million +,//www.artacademy.edu
ArtCenter College of Design,specialty-arts,,CA,Pasadena,91103,,True,private,Unranked,-2,False,,,,44932,,,,2008,,,,N/A,N/A,"Private, Coed",1930,None,Semester,Suburban,$97.5 million +,http://www.artcenter.edu
Art Institute of Atlanta,specialty-arts,,GA,Atlanta,30328,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,//www.artinstitutes.edu/atlanta/
Art Institute of Colorado,specialty-arts,,CO,Denver,80203,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,//www.artinstitutes.edu/denver/
Art Institute of Houston,specialty-arts,,TX,Houston,77056,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,//www.artinstitute.edu/houston/
The Art Institute of Philadelphia,specialty-arts,,PA,Philadelphia,19103,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,
Art Institute of Pittsburgh,specialty-arts,,PA,Pittsburgh,15219,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,//www.artinstitutes.edu/pittsburgh/Admissions
Art Institute of Portland,specialty-arts,,OR,Portland,97209,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,//www.artinstitutes.edu/portland/
Art Institute of Seattle,specialty-arts,,WA,Seattle,98121,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,//www.ais.edu
Asbury University,regional-universities-south,,KY,Wilmore,40390,south,True,private,#9,9,False,21,69,67,30952,3.6,,,1697,,1060,30828.0,1060-1330,21-28,"Private, Coed",1890,Other Protestant,Semester,Suburban,$49.1 million +,http://www.asbury.edu
Ashford University,regional-universities-west,,CA,San Diego,,west,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,http://www.ashford.edu
Ashland University,regional-universities-midwest,,OH,Ashland,44805,midwest,True,private,#53,53,True,20,74,68,21980,3.4,,,5019,,975,22056.0,975-1230,20-25,"Private, Coed",1878,None,Semester,Rural,$45.6 million,http://www.ashland.edu/admissions
Assumption College,regional-universities-north,,MA,Worcester,01609,north,True,private,#32,32,True,24,74,81,42316,3.3,,,1938,,1090,31356.0,1090-1238,24-28,Private,N/A,None,N/A,N/A,N/A,//www.albizu.edu/
Athenaeum of Ohio,faith,,OH,Cincinnati,,,True,private,Unranked,-2,False,,,,,,,,51,,,,N/A,N/A,Private,1829,Roman Catholic,Semester,Suburban,N/A,
Athens State University,regional-colleges-south,,AL,Athens,35611,south,True,public,Unranked,-2,False,,,,13890,,,,2886,,,,N/A,N/A,"Public, Coed",1822,None,Semester,City,$3.9 million,http://www.athens.edu/
Atlanta Metropolitan State College,regional-colleges-south,,GA,Atlanta,30310,south,True,public,#63,63,True,,,,,,,,,,,,N/A,N/A,"Public, Coed",1974,None,Semester,Urban,N/A,//www.Atlm.edu
Auburn University,national-universities,AU,AL,Auburn,36849,,True,public,#104,104,True,25,14,75,31124,3.9,3.1,,24628,3.3,1150,41769.0,1150-1310,25-30,"Public, Coed",1856,None,Semester,Suburban,$771.4 million +,http://www.auburn.edu
Auburn University--Montgomery,regional-universities-south,Auburn University Montgomery Auburn University Montgomery,AL,Montgomery,36124,south,True,public,#79,79,True,19,,93,18292,3.4,,,4632,2.5,990,,990-1140,19-23,"Public, Coed",1967,None,Semester,Urban,$51.9 million,http://www.aum.edu
Augsburg University,regional-universities-midwest,,MN,Minneapolis,55454,midwest,True,private,#13,13,True,19,,41,39945,3.2,,,2343,,1173,,1173-1325,19-24,"Private, Coed",1869,Evangelical Lutheran Church,Semester,Urban,N/A,http://www.augsburg.edu
Augustana College,national-liberal-arts-colleges,,IL,Rock Island,61201,,True,private,#92,92,True,22,74,72,43610,3.3,,,2543,,1070,27704.0,1070-1280,22-29,"Private, Coed",1860,Evangelical Lutheran Church,Semester,Suburban,$168.1 million +,http://www.augustana.edu
Augustana University,regional-universities-midwest,,SD,Sioux Falls,57197,midwest,True,private,#9,9,False,23,61,65,33960,3.7,,,1792,,1060,23011.0,1060-1330,23-28,"Private, Coed",1860,Evangelical Lutheran Church,4-1-4,City,$82.1 million,http://www.augie.edu
Augusta University,national-universities,,GA,Augusta,30912,,True,public,#293-#381,-1,False,20,,76,23156,,,,5463,2.0,,,N/A,20-26,"Public, Coed",1828,None,Semester,Urban,$280.5 million,http://www.augusta.edu/
Aultman College of Nursing and Health Sciences,health,,OH,Canton,,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,
Aurora University,national-universities,,IL,Aurora,60506,,True,private,#293-#381,-1,False,19,,87,,,,,,,950,,950-1130,19-23,Private,N/A,None,N/A,N/A,N/A,http://www.aurora.edu
Austin College,national-liberal-arts-colleges,,TX,Sherman,75090,,True,private,#117,117,True,22,,55,41155,3.6,,,1288,,1130,,1130-1330,22-27,"Private, Coed",1849,Presbyterian,4-1-4,City,$141.8 million,http://www.austincollege.edu
Austin Graduate School of Theology,faith,,TX,Austin,,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,
Austin Peay State University,regional-universities-south,,TN,Clarksville,37044,south,True,public,#58,58,True,19,,94,24467,3.2,,,9871,,960,,960-1170,19-24,"Public, Coed",1927,None,Semester,Urban,$26.5 million,http://www.apsu.edu
Ave Maria University,national-liberal-arts-colleges,,FL,Ave Maria,34142,,True,private,#164-#215,-1,False,21,,83,21850,,,,1088,,1050,,1050-1260,21-27,"Private, Coed",2003,None,Semester,Suburban,$4.6 million +,http://www.avemaria.edu
Averett University,regional-colleges-south,,VA,Danville,24541,south,True,private,#15,15,False,16,86,61,35600,3.2,,,965,,890,24281.0,890-1090,16-22,"Private, Coed",1859,Other,Semester,Suburban,$25.8 million,http://www.averett.edu
Avila University,regional-universities-midwest,,MO,Kansas City,64145,midwest,True,private,#117-#153,-1,False,19,,39,,,,,,,940,,940-1040,19-23,Private,N/A,None,N/A,N/A,N/A,http://www.Avila.edu
Azusa Pacific University,national-universities,,CA,Azusa,91702,,True,private,#228,228,True,21,,69,38880,3.7,,,5657,,1020,,1020-1240,21-27,"Private, Coed",1899,Evangelical Christian,Semester,Suburban,$81.4 million +,http://www.apu.edu
Babson College,specialty-business,,MA,Babson Park,02457,,True,private,Unranked,-2,False,28,,24,52608,,,,2361,3.7,1270,,1270-1450,28-32,"Private, Coed",1919,None,Semester,Suburban,$421.9 million +,http://www.babson.edu
Bacone College,regional-colleges-west,,OK,Muskogee,74403,west,True,private,#26-#33,-1,False,15,,73,,,,,,,805,,805-978,15-18,Private,N/A,None,N/A,N/A,N/A,http://www.bacone.edu/
Baker College of Flint,regional-universities-midwest,,MI,Flint,48507,midwest,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.baker.edu
Bakersfield College,regional-colleges-west,,CA,Bakersfield,93305,west,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,//www.bakersfieldcollege.edu/
Baker University,national-universities,,KS,Baldwin City,66006,,True,private,#254,254,True,20,,88,29800,3.5,,,1214,,930,,930-1175,20-25,"Private, Coed",1858,United Methodist,4-1-4,Rural,$38.6 million,http://www.bakeru.edu
Baldwin Wallace University,regional-universities-midwest,Baldwin Wallace College,OH,Berea,44017,midwest,True,private,#10,10,False,21,75,74,33530,,,,3136,,1030,25123.0,1030-1250,21-27,"Private, Coed",1845,None,Semester,Suburban,$174.8 million,http://www.bw.edu
Ball State University,national-universities,,IN,Muncie,47306,,True,public,#192,192,True,20,,62,26984,,,,,2.7,1080,,1080-1240,20-24,"Public, Coed",1918,None,Semester,Suburban,$214.3 million,http://www.bsu.edu
Baptist Bible College,faith,,MO,Springfield,65803,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.gobbc.edu/
Baptist College of Florida,faith,,FL,Graceville,32440,,True,private,Unranked,-2,False,17,,85,11700,,,,448,,830,,830-870,17-22,"Private, Coed",1943,None,Semester,Rural,$7.8 million,http://www.baptistcollege.edu
Baptist Memorial College of Health Sciences,health,,TN,Memphis,38104,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,1912,None,N/A,N/A,N/A,//www.bchs.edu/
Baptist Missionary Association Theological Seminary,unranked,,TX,Jacksonville,75766,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.bmats.edu/
Barclay College,faith,,KS,Haviland,,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,
Bard College,national-liberal-arts-colleges,,NY,Annandale on Hudson,12504,,True,private,#62,62,True,27,69,65,56036,,,,1893,,1248,28474.0,1248-1420,27-31,"Private, Coed",1860,None,Semester,Rural,$152.0 million,http://www.bard.edu
Bard College at Simon's Rock,regional-colleges-north,Bard College at Simons Rock,MA,Great Barrington,01230,north,True,private,#7,7,False,,,55,55732,,,,,,1240,,1240-1440,N/A,"Private, Coed",1966,None,Semester,Rural,N/A,http://www.simons-rock.edu
Barnard College,national-liberal-arts-colleges,,NY,New York,10027,,True,private,#25,25,True,30,37,14,57668,,,,2562,,1330,26807.0,1330-1500,30-33,"Private, Women's college",1889,None,Semester,Urban,$345.1 million,http://www.barnard.edu
Barry University,national-universities,,FL,Miami Shores,33161,,True,private,#293-#381,-1,False,17,,91,29850,,,,3483,2.1,940,,940-1100,17-22,"Private, Coed",1940,Roman Catholic,Semester,Urban,$44.0 million,http://www.barry.edu
Barton College,regional-colleges-south,,NC,Wilson,27893,south,True,private,#10,10,False,17,84,40,31730,3.2,,,976,,920,26580.0,920-1120,17-23,"Private, Coed",1902, Christian Church (Disciples of Christ),Semester,City,$29.1 million +,http://www.barton.edu
Bastyr University,health,,WA,Kenmore,98028,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.bastyr.edu
Bates College,national-liberal-arts-colleges,,ME,Lewiston,04240,,True,private,#21,21,True,29,42,18,55683,,,,1832,,1290,26578.0,1290-1460,29-32,"Private, Coed",1855,None,4-4-1,City,$315.6 million,http://www.bates.edu
Bayamon Central University,regional-universities-south,,PR,Bayamon,00960,south,True,private,Unranked,-2,False,,,87,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.ucb.edu.pr/
Baylor University,national-universities,,TX,Waco,76798,,True,private,#79,79,True,26,53,52,47364,,2.4,,14188,3.3,1190,37691.0,1190-1370,26-31,"Private, Coed",1845, Baptist,Semester,City,$1.3 billion +,http://www.baylor.edu
Bay Path University,regional-universities-north,,MA,Longmeadow,01106,north,True,private,#94,94,True,24,,60,35080,,,,1924,,888,,888-1090,24-26,"Private, Women's college",1897,None,Semester,Suburban,$50.6 million,http://www.baypath.edu
Bay State College,regional-colleges-north,,MA,Boston,02116,north,True,proprietary,#36-#46,-1,False,,,70,22320,2.7,,,700,,,,N/A,N/A,"Proprietary, Coed",1946,Undenominational,Semester,Urban,N/A,https://www.baystate.edu/
